Category,ProductName/Brand,Price,"In stock vs out of stock(1=in, 0 =out)",Image URL
Juice,ENDURO CONCORD GRAPE,0.69,1,https://images-na.ssl-images-amazon.com/images/I/41myK-5I3TL._SY355_.jpg
Juice,ENDURO GRAPEFRUIT/TA,1.09,1,https://images-na.ssl-images-amazon.com/images/I/81QDB7tae1L.jpg
Juice,ENDURO ORANGE/APRICO,1.09,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_91c523ae-ae6f-4f7b-bdf0-03386a3badc4.jpg
Juice,ENDURO CRANBERRY/PAS,1.09,1,https://i.pinimg.com/236x/1d/d3/23/1dd3235ec5f0eb1dedadf9c989ba0124--liver-detoxification-gaps-diet.jpg
Juice,ENDURO LEMON/ORANGE,1.09,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSIOfadqMss8cLDNABy6YJGJ6zXbNgH7bgjLTqzEwpyXJB0oOirg
Cookies,Meiji Yan Yan Strawberry Cream Cracker Stick with Dip - 2oz,0.69,1,https://target.scene7.com/is/image/Target/GUEST_c2b8e9db-08ce-4bc1-b224-7dc7c744608a?wid=488&hei=488&fmt=pjpeg
Cookies,Chips Ahoy! Thins Bites Fudge Dipped Cookies - 6oz,2.99,1,https://target.scene7.com/is/image/Target/GUEST_0359cebe-33e4-4593-9dac-d2be2b8c8745?wid=488&hei=488&fmt=pjpeg
Cookies,Oreo Chocolate Sandwich Cookies - Family Size - 19.1oz,3.59,1,https://images-na.ssl-images-amazon.com/images/I/51kA42YcM9L._SY355_.jpg
Cookies,"Pepperidge Farm Santa Cruz Soft Baked Oatmeal Raisin Cookies, 8.6oz Bag",2.99,1,https://i5.walmartimages.com/asr/74137e2b-ca16-43d4-873d-829212902f7b_1.957562187cfac50b4c3fe279acddc8cd.jpeg
Cookies,Pepperidge Farm Tahoe White Chocolate Macadamia Cookies - 7.2oz Bag,2.99,1,https://www.pepperidgefarm.com/wp-content/uploads/sites/3/2017/02/00014100075226CR.png
Vegetables,Cucumber Cucumber,0.59,1,https://cdn1.medicalnewstoday.com/content/images/articles/283/283006/cucumber-slices.jpg
Vegetables,Birds Eye Chef's Favorites Roasted Red Potatoes,2.79,1,https://www.birdseye.com/wp-content/uploads/2017/05/birds-eye-steamfresh-chef-s-favorites-lightly-sauced-roasted-red-potatoes-with-oven-roasted-garlic-butter-sauce.jpg
Vegetables,Produce Yukon Gold Potato,1.29,1,https://www.burpee.com/dw/image/v2/ABAQ_PRD/on/demandware.static/-/Sites-masterCatalog_Burpee/default/dw35f19051/Images/Product%20Images/prod000856/prod000856.jpg?sw=320&sh=378&sm=fit
Vegetables,Fresh Beans - long flat - USA,5.99,0,https://www.specialtyproduce.com/sppics/609.png
Vegetables,Cut 'N Clean Greens Collard Greens - Cut & Clean Spinach,2.99,1,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bc1bcb94-50cb-4c74-98e4-02036c73329c.jpeg
Chips,Lays potato chips (classic),1.68,0,https://www.fritolay.com/images/default-source/blue-bag-image/lays-classic.png?sfvrsn=bd1e563a_2
Chips,Lays potato chips (Chile Limon),1.68,1,https://www.fritolay.com/images/default-source/blue-bag-image/lays-chile-limon.png?sfvrsn=a11e563a_2
Chips,Lays potato chips (barbeque),1.68,1,https://www.fritolay.com/images/default-source/blue-bag-image/lays-barbecue.png?sfvrsn=591e563a_6
Chips,Shrimp flavor potato chips (original),1.65,1,https://s.newtalk.tw/album/news/88/591d771af3a40.jpg
Chips,Shrimp flavor potato chips (spicy),1.65,0,https://pbs.twimg.com/media/DAFT-t2V0AAP7qV.jpg
Fruit,Fresh Lemon,0.89,1,https://sc01.alicdn.com/kf/UT89Bf_X5dbXXagOFbXp/Fresh-Lemons.jpg
Fruit,Produce Blood Orange,1.00,1,https://theveglife.com/wp-content/uploads/2014/01/blood-oranges.jpg
Fruit,Farmer's Market Premium Red Seedless Grape,3.99,1,https://cdn.shopify.com/s/files/1/0206/9470/files/crimson_seedless_grapes_pick_of_the_week_harris_farm.jpg?v=1555395110
Fruit,Fresh Cotton Candy Grapes,3.99,1,https://grapery.biz/images/cotton-candy/cotton-candy-grapes-label.jpg
Fruit,Produce Blueberries 18 oz,5.99,1,https://d2ln0cvn4pv5w2.cloudfront.net/unsafe/1024x800/filters:quality(100):max_bytes(200000):fill(white)/http://dcmzfk78s4reh.cloudfront.net/1442945070370.jpg